"","borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date"
"1","bronx","Bathgate","01 One Family Dwellings","1",3030,66,"A1","4453 Park Avenue",NA,10457,1,0,1,1646,1497,1899,"1","A1",215000,2023-04-18
"2","bronx","Bathgate","01 One Family Dwellings","1",3030,66,"A1","4453 Park Avenue",NA,10457,1,0,1,1646,1497,1899,"1","A1",570000,2023-08-23
"3","bronx","Bathgate","02 Two Family Dwellings","1",2904,22,"B9","454 East 172 Street",NA,10457,2,0,2,1658,1428,1901,"1","B9",350000,2023-06-26
"4","bronx","Bathgate","02 Two Family Dwellings","1",2904,22,"B9","454 East 172nd Street",NA,10457,2,0,2,1658,1428,1901,"1","B9",310000,2023-08-14
"5","bronx","Bathgate","02 Two Family Dwellings","1",2912,144,"B1","3813 3 Avenue",NA,10457,2,0,2,2000,2400,1993,"1","B1",763000,2023-09-07
"6","bronx","Bathgate","02 Two Family Dwellings","1",2912,151,"B1","519 East 171 Street",NA,10457,2,0,2,2000,2400,1993,"1","B1",750000,2023-05-18
"7","bronx","Bathgate","02 Two Family Dwellings","1",2927,125,"B1","1477 Crotona Place",NA,10456,2,0,2,1900,2394,1994,"1","B1",820000,2023-11-17
"8","bronx","Bathgate","02 Two Family Dwellings","1",2929,114,"B1","3854 3 Avenue",NA,10457,2,0,2,2883,2394,1995,"1","B1",815000,2023-06-07
"9","bronx","Bathgate","02 Two Family Dwellings","1",3035,139,"B1","1985 Washington Avenue",NA,10457,2,0,2,2910,2340,1998,"1","B1",750000,2023-07-14
"10","bronx","Bathgate","02 Two Family Dwellings","1",3039,106,"B1","442 East 185 Street",NA,10458,2,0,2,1500,2400,1997,"1","B1",698700,2023-07-28
"11","bronx","Bathgate","02 Two Family Dwellings","1",3045,16,"B3","2060 Bathgate Avenue",NA,10457,2,0,2,1429,1872,1910,"1","B3",650000,2023-06-02
"12","bronx","Bathgate","02 Two Family Dwellings","1",3045,17,"B2","2064 Bathgate Avenue",NA,10457,2,0,2,3493,2508,1910,"1","B2",693500,2023-08-17
"13","bronx","Bathgate","02 Two Family Dwellings","1",3046,52,"B3","2047 Bathgate Avenue",NA,10457,2,0,2,2329,1431,1901,"1","B3",57000,2023-10-26
